# Logfile created on 2015-07-05 19:07:10 +0200 by logger.rb/v1.2.7
D, [2015-07-05T19:07:10.675802 #5575] DEBUG -- : MONGODB | Adding 127.0.0.1:27017 to the cluster. | runtime: 0.0095ms
D, [2015-07-05T19:07:10.676620 #5575] DEBUG -- : MONGODB | COMMAND | namespace=admin.$cmd selector={:ismaster=>1} flags=[] limit=-1 skip=0 project=nil | runtime: 0.6649ms
D, [2015-07-05T19:07:10.686357 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:dropDatabase=>1} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 9.3253ms
D, [2015-07-05T19:07:10.777928 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:email=>"user1@email.com", :_id=>{"$ne"=>nil}} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.5956ms
D, [2015-07-05T19:07:10.788747 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"user", :documents=>[{"email"=>"user1@email.com", "name"=>"User1", "password"=>"7c4a8d09ca3762af61e59520943dc26494f8941b", "_id"=><BSON::ObjectId:0x7270600 data=5599643e726a7515c7000000>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 10.1173ms
D, [2015-07-05T19:07:10.789548 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"gWQU0M6rsDTcw3ELFvsFIg=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2644ms
D, [2015-07-05T19:07:10.790463 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:update=>"user", :updates=>[{:q=>{"_id"=><BSON::ObjectId:0x7270600 data=5599643e726a7515c7000000>}, :u=>{"$set"=>{"session_token"=>"gWQU0M6rsDTcw3ELFvsFIg=="}}, :multi=>false, :upsert=>false}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.4847ms
D, [2015-07-05T19:07:10.792631 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 1", "text"=>"Text 1", "user_id"=>"5599643e726a7515c7000000", "_id"=><BSON::ObjectId:0x5917740 data=5599643e726a7515c7000001>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 1.1530ms
D, [2015-07-05T19:07:10.793695 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 2", "text"=>"Text 2", "user_id"=>"5599643e726a7515c7000000", "_id"=><BSON::ObjectId:0x26605820 data=5599643e726a7515c7000002>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.4370ms
D, [2015-07-05T19:07:10.862755 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"gWQU0M6rsDTcw3ELFvsFIg=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3383ms
D, [2015-07-05T19:07:10.863425 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={"_id"=><BSON::ObjectId:0x30023600 data=5599643e726a7515c7000000>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2303ms
D, [2015-07-05T19:07:10.863997 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={:user_id=>"5599643e726a7515c7000000"} flags=[:slave_ok] limit=10 skip=0 project=nil | runtime: 0.2661ms
D, [2015-07-05T19:07:10.884017 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"gWQU0M6rsDTcw3ELFvsFIg=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3889ms
D, [2015-07-05T19:07:10.884648 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={"_id"=><BSON::ObjectId:0x30567960 data=5599643e726a7515c7000000>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2091ms
D, [2015-07-05T19:07:10.885160 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={:user_id=>"5599643e726a7515c7000000"} flags=[:slave_ok] limit=10 skip=0 project=nil | runtime: 0.2422ms
D, [2015-07-05T19:07:10.887226 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"gWQU0M6rsDTcw3ELFvsFIg=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3121ms
D, [2015-07-05T19:07:10.887846 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={"_id"=><BSON::ObjectId:0x30683740 data=5599643e726a7515c7000000>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2370ms
D, [2015-07-05T19:07:10.888430 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={:user_id=>"5599643e726a7515c7000000"} flags=[:slave_ok] limit=10 skip=0 project=nil | runtime: 0.2594ms
D, [2015-07-05T19:07:10.892973 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"invalid"} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3338ms
D, [2015-07-05T19:07:10.895127 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"gWQU0M6rsDTcw3ELFvsFIg=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3591ms
D, [2015-07-05T19:07:10.897388 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"gWQU0M6rsDTcw3ELFvsFIg=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3304ms
D, [2015-07-05T19:07:10.898003 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={"_id"=>"invalid"} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2136ms
D, [2015-07-05T19:07:10.904826 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 3", "text"=>"Text 3", "user_id"=>"5599643e726a7515c7000000", "_id"=><BSON::ObjectId:0x31110720 data=5599643e726a7515c7000003>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.3765ms
D, [2015-07-05T19:07:10.906645 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"gWQU0M6rsDTcw3ELFvsFIg=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3259ms
D, [2015-07-05T19:07:10.907390 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={"_id"=><BSON::ObjectId:0x30950180 data=5599643e726a7515c7000003>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2420ms
