# Logfile created on 2015-06-13 20:15:47 +0200 by logger.rb/v1.2.7
D, [2015-06-13T20:15:47.404199 #5687] DEBUG -- : MONGODB | Adding 127.0.0.1:27017 to the cluster. | runtime: 0.0134ms
D, [2015-06-13T20:15:47.405390 #5687] DEBUG -- : MONGODB | COMMAND | namespace=admin.$cmd selector={:ismaster=>1} flags=[] limit=-1 skip=0 project=nil | runtime: 0.9356ms
D, [2015-06-13T20:15:47.412340 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:dropDatabase=>1} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 6.5165ms
D, [2015-06-13T20:15:47.492767 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:email=>"user1@email.com", :_id=>{"$ne"=>nil}} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.4191ms
D, [2015-06-13T20:15:47.499775 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"user", :documents=>[{"email"=>"user1@email.com", "name"=>"User1", "password"=>"7c4a8d09ca3762af61e59520943dc26494f8941b", "_id"=><BSON::ObjectId:0x19619980 data=557c7353726a751637000000>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 6.5727ms
D, [2015-06-13T20:15:47.500561 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"yGagBVH/a9PojkH5XEO2pA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2363ms
D, [2015-06-13T20:15:47.501127 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:update=>"user", :updates=>[{:q=>{"_id"=><BSON::ObjectId:0x19619980 data=557c7353726a751637000000>}, :u=>{"$set"=>{"session_token"=>"yGagBVH/a9PojkH5XEO2pA=="}}, :multi=>false, :upsert=>false}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.2923ms
D, [2015-06-13T20:15:47.503135 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 1", "text"=>"Text 1", "user_id"=>"557c7353726a751637000000", "_id"=><BSON::ObjectId:0x19399380 data=557c7353726a751637000001>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 1.1525ms
D, [2015-06-13T20:15:47.503985 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 2", "text"=>"Text 2", "user_id"=>"557c7353726a751637000000", "_id"=><BSON::ObjectId:0x19301660 data=557c7353726a751637000002>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.2627ms
D, [2015-06-13T20:15:47.570508 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"yGagBVH/a9PojkH5XEO2pA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.4029ms
D, [2015-06-13T20:15:47.571095 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={"_id"=><BSON::ObjectId:0x31609780 data=557c7353726a751637000000>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2081ms
D, [2015-06-13T20:15:47.571573 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={:user_id=>"557c7353726a751637000000"} flags=[:slave_ok] limit=10 skip=0 project=nil | runtime: 0.2360ms
D, [2015-06-13T20:15:47.590021 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"yGagBVH/a9PojkH5XEO2pA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.5496ms
D, [2015-06-13T20:15:47.590946 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={"_id"=><BSON::ObjectId:0x32154740 data=557c7353726a751637000000>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2990ms
D, [2015-06-13T20:15:47.591665 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={:user_id=>"557c7353726a751637000000"} flags=[:slave_ok] limit=10 skip=0 project=nil | runtime: 0.3159ms
D, [2015-06-13T20:15:47.593770 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"yGagBVH/a9PojkH5XEO2pA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3171ms
D, [2015-06-13T20:15:47.594274 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={"_id"=><BSON::ObjectId:0x32271400 data=557c7353726a751637000000>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.1714ms
D, [2015-06-13T20:15:47.594671 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={:user_id=>"557c7353726a751637000000"} flags=[:slave_ok] limit=10 skip=0 project=nil | runtime: 0.1800ms
D, [2015-06-13T20:15:47.598993 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"invalid"} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3045ms
D, [2015-06-13T20:15:47.600829 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"yGagBVH/a9PojkH5XEO2pA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3250ms
D, [2015-06-13T20:15:47.602854 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"yGagBVH/a9PojkH5XEO2pA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3221ms
D, [2015-06-13T20:15:47.603425 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={"_id"=>"invalid"} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2000ms
D, [2015-06-13T20:15:47.604793 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 3", "text"=>"Text 3", "user_id"=>"557c7353726a751637000000", "_id"=><BSON::ObjectId:0x32749500 data=557c7353726a751637000003>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.2930ms
D, [2015-06-13T20:15:47.606314 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"yGagBVH/a9PojkH5XEO2pA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2892ms
D, [2015-06-13T20:15:47.606836 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={"_id"=><BSON::ObjectId:0x32822920 data=557c7353726a751637000003>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2034ms
D, [2015-06-13T20:15:47.608451 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"yGagBVH/a9PojkH5XEO2pA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2787ms
